X,Y,Z
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.046875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.9765625,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.1484375
-0.0546875,-0.9765625,0.1328125
-0.046875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.1328125
-0.046875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.9765625,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.0625,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.046875,-0.9765625,0.125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.1484375
-0.0546875,-0.984375,0.1484375
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.9765625,0.140625
-0.046875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.0625,-0.984375,0.1484375
-0.0546875,-0.9765625,0.140625
-0.0546875,-0.984375,0.1328125
-0.046875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.046875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.9765625,0.140625
-0.046875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.1484375
-0.0625,-0.9765625,0.1328125
-0.0625,-0.984375,0.1484375
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.046875,-0.9765625,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.125
-0.0546875,-0.9765625,0.125
-0.046875,-0.984375,0.1328125
-0.0546875,-0.9921875,0.1484375
-0.0546875,-0.9765625,0.125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.140625
-0.046875,-0.9765625,0.125
-0.0546875,-0.9921875,0.1328125
-0.0546875,-0.9765625,0.125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.9765625,0.140625
-0.046875,-0.9765625,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0625,-0.984375,0.1328125
-0.0625,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.9921875,0.140625
-0.0546875,-0.9921875,0.1484375
-0.046875,-0.984375,0.1328125
-0.046875,-0.984375,0.140625
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.9765625,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.9765625,0.125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.9765625,0.140625
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.046875,-0.9921875,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.046875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.046875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.140625
-0.0546875,-0.984375,0.1484375
-0.046875,-0.984375,0.15625
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.140625
-0.0625,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.046875,-0.984375,0.140625
-0.0625,-0.96875,0.1640625
-0.0390625,-0.7734375,0.1953125
-0.0625,-0.9921875,0.125
-0.0546875,-0.9765625,0.1328125
-0.0625,-0.984375,0.140625
-0.0625,-0.984375,0.140625
-0.046875,-0.9765625,0.125
-0.0546875,-0.9765625,0.125
-0.0625,-0.9765625,0.125
-0.046875,-0.984375,0.140625
-0.046875,-0.984375,0.1328125
-0.046875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.9765625,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1484375
-0.0546875,-0.984375,0.140625
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.046875,-0.9765625,0.1328125
-0.0625,-0.984375,0.140625
-0.0546875,-0.9765625,0.140625
-0.046875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0625,-0.984375,0.1484375
-0.0546875,-0.9765625,0.1328125
-0.046875,-0.984375,0.1328125
-0.046875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0625,-0.984375,0.140625
-0.046875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.1484375
-0.0546875,-0.984375,0.140625
-0.0546875,-0.9765625,0.1328125
-0.046875,-0.9765625,0.140625
-0.0546875,-0.9765625,0.140625
-0.0546875,-0.9765625,0.140625
-0.046875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.9765625,0.1328125
-0.046875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.9765625,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.046875,-0.9765625,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.140625
-0.046875,-0.984375,0.140625
-0.0546875,-0.984375,0.1484375
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.9765625,0.125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.046875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.046875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.140625
-0.0546875,-0.9765625,0.140625
-0.0625,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.046875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.046875,-0.984375,0.1328125
-0.046875,-0.9765625,0.140625
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.96875,0.1328125
-0.046875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.0390625,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.046875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.140625
-0.0546875,-0.9765625,0.140625
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.1328125
-0.046875,-0.9765625,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.046875,-0.9921875,0.140625
-0.0546875,-0.9921875,0.1328125
-0.0546875,-0.9765625,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0625,-0.984375,0.140625
-0.0546875,-0.9765625,0.125
-0.0546875,-0.984375,0.1328125
-0.0625,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.046875,-0.9765625,0.1328125
-0.046875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.046875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.140625
-0.046875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.140625
-0.046875,-0.9765625,0.125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.1328125
-0.0546875,-0.984375,0.125
-0.0546875,-0.984375,0.1484375
-0.0546875,-0.984375,0.1328125
-0.046875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.046875,-0.9765625,0.1328125
-0.046875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.9921875,0.140625
-0.046875,-0.984375,0.1328125
-0.046875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.96875,0.125
-0.046875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.140625
-0.046875,-0.9765625,0.125
-0.0625,-0.984375,0.140625
-0.0546875,-0.9765625,0.125
-0.046875,-0.9765625,0.125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.9921875,0.1484375
-0.046875,-0.9921875,0.140625
-0.0546875,-0.984375,0.1328125
-0.0625,-0.9921875,0.140625
-0.046875,-0.984375,0.1328125
-0.046875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.125
-0.046875,-0.984375,0.1328125
-0.046875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.046875,-0.9921875,0.1328125
-0.0546875,-0.9765625,0.125
-0.046875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.046875,-0.9765625,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.046875,-0.984375,0.140625
-0.0625,-0.9765625,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.046875,-0.984375,0.1328125
-0.046875,-0.9921875,0.140625
-0.046875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.046875,-0.984375,0.1328125
-0.046875,-0.984375,0.1328125
-0.0546875,-0.9921875,0.1328125
-0.046875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0625,-0.984375,0.140625
-0.0546875,-0.9765625,0.1328125
-0.046875,-0.984375,0.140625
-0.0546875,-0.9921875,0.140625
-0.046875,-0.9765625,0.140625
-0.046875,-0.984375,0.140625
-0.0546875,-0.9765625,0.140625
-0.046875,-0.984375,0.140625
-0.046875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.9765625,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.1328125
-0.046875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.140625
-0.0546875,-0.984375,0.1328125
-0.046875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.140625
-0.0546875,-0.9921875,0.1328125
-0.0546875,-0.984375,0.1484375
-0.0546875,-0.984375,0.1328125
-0.0625,-0.9765625,0.125
-0.046875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.140625
-0.0546875,-0.9765625,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.9921875,0.1484375
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.125
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.140625
-0.046875,-0.984375,0.1328125
-0.0546875,-0.984375,0.125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.9765625,0.140625
-0.0546875,-0.9921875,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.046875,-0.9921875,0.1328125
-0.046875,-0.984375,0.140625
-0.0546875,-0.9765625,0.1328125
-0.046875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.9765625,0.125
-0.046875,-0.984375,0.140625
-0.0546875,-0.9765625,0.125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.1328125
-0.046875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0625,-0.9765625,0.1328125
-0.046875,-0.984375,0.125
-0.0546875,-0.9765625,0.1328125
-0.0625,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.046875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.9921875,0.1484375
-0.0625,-0.984375,0.1484375
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.046875,-0.984375,0.140625
-0.0625,-0.9765625,0.125
-0.0625,-0.9921875,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1484375
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.046875,-0.9765625,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.1328125
-0.046875,-0.9921875,0.140625
-0.0546875,-0.984375,0.1328125
-0.046875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0625,-0.9765625,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0625,-0.9921875,0.1328125
-0.0625,-0.9765625,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.9921875,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.046875,-0.984375,0.1328125
-0.046875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.9921875,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.9765625,0.125
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.1328125
-0.0625,-0.9765625,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.9765625,0.125
-0.046875,-0.984375,0.140625
-0.046875,-0.9921875,0.1328125
-0.046875,-0.96875,0.125
-0.046875,-0.984375,0.1328125
-0.046875,-0.984375,0.140625
-0.046875,-0.9765625,0.140625
-0.046875,-0.9765625,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.140625
-0.046875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.9765625,0.140625
-0.046875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.9765625,0.140625
-0.046875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.9921875,0.1484375
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.046875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.046875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.125
-0.0546875,-0.9921875,0.140625
-0.0625,-0.9765625,0.1484375
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.125
-0.0625,-0.9765625,0.125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.9921875,0.140625
-0.046875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.140625
-0.046875,-0.9921875,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.9765625,0.1328125
-0.046875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.046875,-0.9765625,0.1171875
-0.046875,-0.9921875,0.1328125
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.140625
-0.0546875,-0.9765625,0.1328125
-0.046875,-0.984375,0.125
-0.0390625,-0.984375,0.140625
-0.0546875,-0.9921875,0.140625
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.046875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.046875,-0.9765625,0.1328125
-0.0546875,-0.9921875,0.140625
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.140625
-0.0625,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.046875,-0.9765625,0.125
-0.0546875,-0.9921875,0.140625
-0.0546875,-0.984375,0.125
-0.0546875,-0.984375,0.125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0625,-0.984375,0.1328125
-0.0546875,-0.984375,0.1484375
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.140625
-0.046875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.046875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.125
-0.046875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.140625
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.046875,-0.984375,0.1328125
-0.046875,-0.9765625,0.125
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.140625
-0.0546875,-0.9765625,0.125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.9765625,0.140625
-0.0546875,-0.9921875,0.140625
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.046875,-0.984375,0.1328125
-0.0546875,-0.9921875,0.1328125
-0.0390625,-0.9921875,0.140625
-0.046875,-0.9765625,0.140625
-0.046875,-0.9921875,0.1484375
-0.0546875,-0.9921875,0.140625
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.96875,0.1328125
-0.046875,-0.9921875,0.1328125
-0.046875,-0.9921875,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.9921875,0.140625
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.046875,-0.9765625,0.1328125
-0.046875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.9921875,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.1171875
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0625,-0.984375,0.140625
-0.0625,-0.9921875,0.1328125
-0.046875,-0.984375,0.125
-0.0625,-0.9765625,0.125
-0.0546875,-0.9765625,0.140625
-0.0546875,-0.984375,0.140625
-0.0625,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.96875,0.1171875
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.1328125
-0.0546875,-0.984375,0.125
-0.046875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.140625
-0.0546875,-0.9765625,0.1328125
-0.046875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.046875,-0.9765625,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0625,-0.984375,0.1328125
-0.046875,-0.984375,0.1328125
-0.0625,-0.984375,0.125
-0.046875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.9765625,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.046875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.125
-0.0546875,-0.9765625,0.1328125
-0.046875,-0.984375,0.125
-0.0625,-0.9765625,0.1328125
-0.046875,-0.984375,0.1328125
-0.046875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.125
-0.0546875,-0.9765625,0.1328125
-0.0625,-0.9765625,0.125
-0.046875,-0.984375,0.1328125
-0.0546875,-0.9921875,0.1328125
-0.046875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.1484375
-0.0546875,-0.984375,0.140625
-0.0625,-0.9765625,0.125
-0.0546875,-0.9921875,0.140625
-0.046875,-0.984375,0.15625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.1328125
-0.046875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.046875,-0.984375,0.140625
-0.046875,-0.984375,0.140625
-0.0546875,-0.9765625,0.1328125
-0.046875,-0.984375,0.1328125
-0.046875,-0.984375,0.140625
-0.046875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.140625
-0.0546875,-0.984375,0.140625
-0.046875,-0.9921875,0.140625
-0.0546875,-0.984375,0.1328125
-0.046875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.0625,-0.9765625,0.1328125
-0.046875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.046875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.046875,-0.984375,0.1328125
-0.046875,-0.9765625,0.125
-0.0546875,-0.9921875,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.140625
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.9765625,0.140625
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.140625
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.9921875,0.1328125
-0.0546875,-0.984375,0.1328125
-0.046875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.140625
-0.046875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.0546875,-0.9765625,0.1328125
-0.0546875,-0.984375,0.140625
-0.0625,-0.984375,0.1328125
-0.046875,-0.984375,0.140625
-0.046875,-0.984375,0.1328125
-0.0546875,-0.984375,0.1328125
-0.046875,-0.984375,0.1328125
